#FEATURE_ID	72v3.B	60v2.B	11v2.B	75v3.A	36v5.A	70v4.B	219v4.A	76v5.A	190v5.B	61v2.A	9v5.A	20v4.A	86v3.A	82v4.B	82v2.B	14v3.A	195v4.A	190v2.B	60v5.B	143v4.A	195v5.A	20v2.A	85v3.A	99v3.B	37v2.A	29v2.B	12v2.B	12v3.B	20v3.A	2v5.A	56v4.B	51v4.B	195v3.A	28v5.A	36v4.A	29v3.B	97v4.A	77v2.A	182v5.B	73v2.B	80v3.B	31v5.A	61v3.A	9v4.A	204v4.B	16v3.B	18v2.A	193v3.B	221v4.B	33v4.B	204v5.B	31v2.A	193v2.B	48v5.A	16v5.B	97v5.A	40v5.B	75v5.A	17v3.A	85v4.A	13v4.A	44v3.B	13v5.A	55v2.A	182v4.B	80v4.B	55v5.A	54v2.B	7v5.A	54v3.B	77v3.A	17v5.A	78v5.B	204v3.B	2v2.A	129v4.A	84v5.A	79v2.B	34v2.B	91v5.A	116v5.A	84v4.A	9v3.A	30v3.B	99v2.B	36v2.A	73v5.B	2v4.A	143v3.A	4v5.A	89v5.B	71v2.B	78v2.B	11v4.B	73v3.B	18v3.A	18v5.A	120v4.A	193v4.B	15v4.A	219v5.A	34v5.B	60v3.B	97v3.A	22v2.A	19v3.B	37v4.A	120v2.A	72v2.B	78v4.B	16v2.B	76v4.A	84v3.A	108v3.B	28v2.A	14v2.A	90v3.A	79v3.B	61v4.A	22v5.A	190v4.B	89v2.B	17v2.A	31v4.A	116v4.A	64v2.A	15v3.A	11v5.B	7v4.A	78v3.B	12v5.B	108v2.B	89v4.B	221v2.B	6v4.B	80v2.B.A48	29v4.B	116v2.A	85v5.A	91v3.A	30v4.B	129v5.A	4v2.A	221v5.B	26v2.B	28v4.A	60v4.B	55v3.A	28v3.A	33v2.B	7v2.A	54v4.B	70v5.B	2v3.A	91v4.A	64v4.A	76v2.A	71v4.B	90v2.A	51v5.B	26v4.B	34v3.B	97v2.A	26v3.B	5v5.B	44v2.B	56v5.B	18v4.A	16v4.B	5v4.B	129v3.A	70v3.B	73v4.B	72v5.B	193v5.B	9v2.A	86v2.A	30v2.B	71v3.B	108v4.B	40v2.B	40v3.B	86v5.A	31v3.A	6v2.B	13v2.A	77v5.A	14v5.A	72v4.B	56v3.B	56v2.B	36v3.A	34v4.B	75v4.A	6v5.B	15v5.A	4v3.A	51v3.B	19v5.B	182v2.B	37v5.A	44v5.B	129v2.A	4v4.A	90v4.A	5v3.B	75v2.A	71v5.B	79v4.B	66v5.A	37v3.A	30v5.B	204v2.B	85v2.A	13v3.A	48v4.A	12v4.B	143v2.A	40v4.B	143v5.A	22v4.A	108v5.B	19v2.B	64v3.A	190v3.B	89v3.B	15v2.A	66v4.A	219v3.A	66v2.A	77v4.A	54v5.B	11v3.B	55v4.A	76v3.A	182v3.B	20v5.A	61v5.A	82v3.B	86v4.A	33v5.B	80v5.B	120v5.A	14v4.A	22v3.A	48v2.A	48v3.A	26v5.B	116v3.A	120v3.A	6v3.B	82v5.B	195v2.A	99v5.B	64v5.A	19v4.B	27v2.B	99v4.B	91v2.A	5v2.B	70v2.B	33v3.B	17v4.A	44v4.B	84v2.A	27v3.B	27v4.B	90v5.A	79v5.B	27v5.B	219v2.A	51v2.B	66v3.A	221v3.B	7v3.A	29v5.B	taxonomy
802442	981	4635	951	1252	3546	1064	1597	864	9	1912	400	280	2976	1598	1402	607	3967	1940	3084	4212	1711	428	5525	4500	1721	2301	6021	1679	241	0	5611	2330	12859	215	2555	8	1913	627	1916	1520	2271	1479	2954	9815	3269	249	517	10968	4084	3145	3243	883	10322	360	1000	2472	14441	1122	134	3582	4590	967	1964	8672	3204	2734	4783	2881	2862	4356	1543	1441	4293	3774	1091	1653	1265	1276	3672	1120	5754	1579	375	1270	2979	2978	278	75	10157	1198	5106	1478	3603	1079	1949	528	1370	3471	12104	3416	1000	8604	1344	21896	1544	22	2968	2704	4696	5392	740	243	6957	4329	1391	891	10436	2441	2180	3408	33	493	4082	782	5038	9637	4376	600	1509	3	5323	7860	4316	1482	2835	5968	296	2523	3830	1316	800	4525	617	2828	1767	832	3753	15491	1141	2306	2863	14453	2308	501	2941	3140	446	2260	1533	1848	3632	2	4345	2567	1625	1901	3375	752	1177	1388	4	2385	445	8668	5297	828	8507	755	1010	8367	9124	8680	3929	1308	638	3910	91	594	7043	1997	3874	4604	4845	1424	1746	3838	214	1788	582	1624	2017	1295	17069	468	5063	2682	904	3264	2600	2491	2078	1332	5386	7179	985	369	5405	1957	13506	1110	4940	6200	1430	1301	6	2594	3286	3074	1946	2499	276	5705	201	11248	1530	1643	180	902	983	4263	1557	2731	4696	757	1942	1110	3	1244	7	533	1593	4361	4772	2044	6517	764	1135	2939	1299	4007	491	5	3207	1225	738	2	1809	2455	2317	1123	1612	1838	1162	3669	3423	355	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;
328039	8	1458	748	2278	1372	1031	1066	137	164	385	113	602	800	4062	771	2000	6101	3410	987	9348	2899	318	575	6653	847	265	0	1	378	0	5069	1089	6708	200	2220	0	5928	645	1021	2489	7713	214	2352	3467	1182	413	516	3	1	790	1308	171	5	1	1180	1387	384	2696	2	1281	55	1072	100	2451	1001	838	2183	1858	75	1613	5731	56	0	598	203	275	0	916	3529	1396	8	3	0	1534	4689	1960	2211	0	18970	1389	5112	1581	640	1296	1717	872	1138	3648	4	1314	1699	3202	202	19	2590	123	1015	3408	1775	2	892	156	3765	4148	530	501	19479	1024	358	0	26	1252	131	53	16	180	1516	694	1496	2	0	2758	4028	667	263	1849	114	481	1772	11309	876	707	1744	2	173	943	2017	3958	3677	655	1123	320	2924	58	3422	578	264	176	627	1775	985	2090	1286	1675	0	947	4106	1048	916	0	4	4379	2718	2603	8	357	1009	593	10694	1272	590	282	1191	1024	498	143	258	2941	1077	8573	2460	5854	3025	4894	199	1874	1929	835	1388	1724	3208	353	93	1691	1763	2	2741	467	336	1967	178	711	2887	346	11	2	1	7078	423	8229	1	55	1068	861	20	7824	1117	638	2792	816	962	702	939	3928	193	2462	358	119	0	2859	1528	1564	8837	411	311	4	3	315	5	591	817	857	1962	3768	725	855	371	3475	1046	0	772	1770	86	1136	1501	0	833	3320	151	522	4825	1293	4666	197	1	48	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;
677571	2155	1830	564	1155	1113	857	771	1814	11	221	1	290	837	2311	2971	468	2812	1857	548	1802	5896	105	2431	2143	1577	733	1854	544	97	2	512	495	102	224	635	0	10729	556	702	656	1128	754	577	0	1459	169	197	2727	1	508	1782	258	1280	2	772	3670	1650	1224	105	1857	481	1216	1098	891	660	1893	905	1064	2638	31	522	177	6351	5355	1747	603	1757	1218	3193	601	1	2621	0	105	1089	1687	481	13	384	1655	3004	1006	2233	647	625	302	521	821	3827	396	396	1236	118	366	727	12	417	1449	873	8491	555	602	2521	1318	374	595	2185	3	906	1125	5	879	328	596	0	4002	2298	599	2927	13	1219	1922	2481	1349	2072	1605	2341	478	2412	303	1042	1324	2254	4	272	326	1336	3662	783	442	2667	2	1909	24	815	3807	1009	96	2350	930	738	31	5764	618	3	1701	818	207	650	0	3	1264	1368	1411	1941	664	1573	691	82	2713	25	150	2236	315	2302	1977	1047	666	1748	153	781	1730	1645	1618	476	413	4538	424	939	1443	265	661	1120	2270	2150	1	551	72	1546	819	122	720	2875	1399	207	0	2525	1821	773	2710	1433	2396	838	6182	2100	3837	391	1438	433	2366	1273	1273	493	1082	787	738	354	226	5	5790	653	1899	1740	1589	391	1	2	973	1	141	803	1185	3627	784	9220	1293	247	1222	821	2027	262	50	248	1001	275	0	659	1016	814	181	1128	553	463	1138	179	402	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;
302903	0	1181	1192	1519	2970	225	1161	3540	4295	1754	339	834	1292	467	529	98	1148	6107	1545	4584	927	723	66	304	882	590	257	1	99	935	284	655	3	519	2219	0	1585	400	10022	2290	50	450	623	2714	3217	57	1155	900	0	536	532	952	1893	0	723	1319	216	291	32	1962	0	17	16	2580	5414	4798	2413	2191	1229	1	0	821	39	438	482	1767	862	1101	2446	966	179	2044	36	122	4077	2260	546	641	298	208	1825	1847	1342	921	53	1176	694	345	278	484	505	1200	180	1841	2404	2	1637	388	150	33	548	917	833	13	712	25	108	3	2492	979	4463	270	352	76	3	2252	40	1244	372	0	0	464	556	96	801	2145	1778	1658	2762	1625	854	314	246	10	171	156	950	2592	59	1177	670	3	3208	0	723	2	1468	3577	2827	874	6	16	995	1	1	671	1730	673	44	0	5	839	1041	15	2536	295	998	510	512	918	576	343	1094	119	1492	2155	126	3	12	0	1228	1016	1423	1128	421	539	20	806	1652	4303	1611	112	136	59	519	0	535	634	757	2935	637	517	423	1040	0	1	0	2429	304	4050	0	1370	1288	26	1	557	458	3379	12	4959	157	5975	2	2953	1308	924	1420	728	20	2001	613	2742	907	41	359	28	0	460	0	1	469	89	2074	4851	14	1564	1179	2047	391	1683	1396	15	1306	1488	27	0	1	1105	604	1	340	1286	1106	0	5	1171	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;
765050	3537	398	322	3463	76	156	4	11	8	27	0	170	1	1121	359	1252	439	2	19	932	451	204	948	936	142	1	25	844	591	0	1939	182	1568	242	323	0	6999	1643	1542	103	1313	172	671	0	2371	1733	2	32	6	73	624	17	698	2	233	2151	10	3273	2	447	2310	2598	1711	402	2204	73	492	9	553	409	684	1	323	5012	0	269	1027	115	678	3380	3636	444	0	27	318	58	577	0	1978	255	3919	542	905	2144	398	0	0	1386	145	4538	1	274	122	261	584	846	1029	419	9098	647	318	48	2267	3911	495	736	1290	273	19	962	5	3979	0	90	8644	971	1866	2124	278	1	1340	180	2937	1816	235	157	0	1858	222	3461	130	15	653	0	49	771	80	452	2840	119	863	74	1088	0	4364	535	33	1984	975	306	250	711	793	1154	46	993	1386	0	423	5	11	990	455	3867	716	285	0	150	9444	1	504	3496	5	619	277	322	987	909	5151	135	521	296	456	5026	228	1076	46	2063	351	1793	489	983	117	63	198	223	4455	2940	617	635	838	14	2380	821	205	3	851	635	459	733	955	35	328	997	1	6570	2714	274	1	280	566	325	3332	322	91	5992	128	126	198	3	100	103	2339	727	1656	2	0	49	12670	499	399	282	348	351	196	519	611	141	1860	30	282	721	0	1221	790	546	36	322	368	208	2	315	1871	173	237	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;
357726	3	196	327	820	314	1215	1189	424	3	522	1	155	43	596	1159	91	5513	2070	262	353	6603	121	99	922	567	795	1248	2	43	0	177	1002	13	403	306	0	3394	164	3639	536	49	310	62	2	1539	0	152	3720	0	390	1619	133	4810	0	171	1794	1262	1291	190	844	519	339	748	2185	831	1722	537	369	479	52	154	445	1356	740	1024	1042	1	272	5590	338	1	2	2	46	533	762	333	0	181	391	504	2212	1359	97	36	75	238	1567	2247	496	822	1103	1	10	709	1	1519	678	2151	2803	263	150	1742	0	409	451	1207	0	384	0	2	1092	1141	248	0	1593	83	268	134	0	979	996	489	612	239	916	0	721	1625	15	529	700	746	4	1493	216	1	2949	82	575	323	25	485	1	564	2416	90	1804	3908	269	750	0	2121	8	1	1552	503	103	51	1	1	2556	1287	4	4631	676	812	376	698	1291	1356	772	680	68	2349	1287	1928	847	1	1	966	28	1647	948	1025	396	42	129	265	815	698	852	116	187	1408	0	592	1215	751	794	103	156	2867	504	0	1	1115	1143	1617	1162	0	2156	380	93	0	2	923	1699	350	1147	823	1549	0	916	89	131	218	271	0	1592	1049	982	2523	757	11	1	0	854	2	23	20	223	1534	1395	1890	253	274	511	901	1416	143	0	601	654	38	0	593	2226	509	245	947	626	184	1	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;
242757	7165	57	415	462	1158	420	157	114	3433	219	16	1059	2600	715	1547	3981	135	1411	27	85	110	456	1183	3102	248	156	37	404	1340	0	1032	376	764	41	2720	300	1748	120	510	437	37	94	351	217	1052	1262	516	5	0	3	559	24	25	43	401	537	123	291	923	252	563	371	683	538	1310	51	727	4	167	19	529	717	678	4478	308	2009	0	1599	669	295	1920	333	0	16	397	895	1274	0	693	398	582	2495	4651	376	685	183	323	2291	125	195	237	11	11	3	280	174	184	398	2761	2501	241	169	843	4	204	52	6821	736	37	558	1808	4	1471	11	1682	206	382	273	252	6436	506	2	175	131	494	117	2083	672	174	2457	199	107	780	0	80	197	28	1924	256	13	329	1	1716	209	762	362	220	1316	107	243	1140	555	84	1234	0	588	557	253	496	1	2	1705	247	1204	31	118	500	305	604	2	878	1029	1219	160	489	266	75	250	2146	314	876	3192	21	709	210	208	886	279	96	2203	207	326	369	248	279	0	755	2209	882	1006	508	145	1104	207	411	109	894	8	219	51	22	1	68	946	2292	20	944	283	1052	521	173	8	176	1397	113	2087	407	105	1	1661	6	253	4309	198	918	48	476	114	0	420	1952	906	167	599	114	30	241	571	798	0	179	306	1074	549	4321	0	217	673	2004	262	876	181	2929	681	73	374	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;
442116	59	51	83	101	1182	634	171	460	7	416	146	152	113	902	410	191	1253	2109	44	486	381	200	503	227	476	557	227	1422	143	1	567	1771	40	463	479	1	3818	896	924	1412	472	343	266	2	451	104	78	235	1	276	723	850	262	1	1022	441	680	202	11	212	9	172	3	404	1277	292	654	1013	219	3	224	1098	226	563	389	789	334	184	1244	930	0	1205	1	99	425	1338	739	4	408	368	1863	719	360	225	430	85	396	734	104	116	361	937	271	5473	131	8	424	1577	938	615	1153	97	1410	165	378	1068	251	6	258	139	0	212	417	515	1	971	73	62	193	0	172	183	763	406	1350	291	15	645	1002	62	139	386	246	1	96	455	99	1961	536	243	178	9	1570	32	1591	542	117	865	63	1050	837	0	1044	272	5570	338	529	188	1170	5405	2	839	1076	1126	242	157	1163	115	86	154	194	454	898	795	1432	297	93	195	2396	92	1831	81	526	304	986	160	55	407	397	1574	639	204	738	956	162	10491	145	540	322	771	700	92	399	1397	25	3	486	192	504	726	29	11	336	342	3	151	225	551	325	771	194	128	11	1183	196	655	191	185	113	1605	197	190	779	201	153	0	2	249	1	373	926	582	1867	185	1090	1002	1206	252	1192	415	230	0	260	176	128	0	274	99	808	507	865	949	61	530	14	70	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;
224723	12	57	68	304	1603	185	39	205	2786	364	33	1462	411	1194	211	295	236	2441	50	491	94	711	967	602	259	155	0	1	2478	0	2391	841	196	65	3058	0	4066	165	1247	1160	417	145	340	531	107	452	33	0	0	42	177	101	2	0	1033	1390	19	525	45	336	618	440	1134	452	2098	172	684	145	53	137	667	358	1	35	511	156	1	101	397	1189	20	1	0	132	640	1737	816	2	722	451	1659	6020	167	90	168	56	120	1413	3	809	74	225	11	3	149	11	98	525	2596	0	596	190	1207	201	206	88	5379	143	90	0	333	75	212	13	14	164	1398	62	353	5	2	128	641	437	358	415	1356	1980	347	810	435	82	839	1	69	118	84	957	506	63	727	25	2032	490	2996	672	331	2116	193	402	705	237	156	154	0	1328	1501	84	512	0	4	1321	925	1009	4	154	571	754	791	87	69	31	942	115	351	566	135	356	795	679	1240	1025	198	1228	259	796	944	170	259	801	504	682	820	251	496	0	1110	2837	69	1452	50	350	816	249	62	1	0	421	35	505	2	7	179	1552	114	345	438	165	126	462	368	72	60	951	198	600	368	33	0	1181	51	829	2868	98	10	0	1	111	0	90	1865	1669	88	542	202	116	452	518	560	0	414	166	432	1388	1820	0	796	1898	34	712	195	373	451	42	3	215	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;
317112	1	1819	700	41	332	2294	141	33	250	433	170	167	0	39	2700	0	520	807	1280	808	1652	603	0	91	352	165	89	0	0	27	663	3838	0	85	762	0	224	381	461	816	0	168	0	45	243	0	6	10	3	144	143	194	15	19	362	343	157	0	10	778	306	0	220	1673	1409	5052	247	316	11	0	0	664	294	0	100	524	555	1047	748	41	1758	1021	0	13	995	1643	187	7	2	18	499	855	89	1209	6	100	391	52	20	2	80	439	30	1	5	0	1163	5	4	65	523	34	7	0	330	1880	0	0	161	17	53	696	883	443	1517	4458	0	267	18	0	28	1720	160	160	231	1354	233	3893	2432	1	395	814	150	316	1925	119	1587	1187	3	71	37	788	3912	0	21	7320	115	687	747	426	0	0	194	0	70	1025	576	149	140	239	11	1878	1332	15	2	162	107	145	0	46	47	1	89	10	40	384	3913	104	201	4	1718	0	343	91	328	9	25	230	356	843	1043	2117	1399	216	70	61	130	788	2	1105	0	310	573	801	1	9	38	8	289	222	24	36	40	8	0	0	2	1030	1	6562	459	582	0	301	44	0	446	7	3	90	219	1478	985	507	3	2694	2	2	4	3	0	1	1106	1582	10399	118	5	210	145	24	617	1	218	773	5	4	27	385	133	87	0	1005	5	0	0	82	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__PeptostreptococcaceaeFA;
